Date,Open,High,Low,Close,5,10,20,60,120,Volume,5,20,40,60
20200403,158500,159000,155000,157500,154700,152900,153900,166233,157654,545749,818912,1135456,931168,766390
20200402,152000,157000,149000,157000,153700,152100,154800,166267,157467,1043790,901560,1136590,930577,771487
20200401,156000,158500,150000,150500,152400,149800,155925,166317,157296,794295,871540,1125488,918283,768094
20200331,155000,159000,152000,155500,153200,148850,157375,166383,157163,1042474,970756,1121233,909850,761418
20200330,149500,154500,147500,153000,153000,148050,158350,166333,156988,668254,1016539,1100560,893657,749291
20200327,156500,157000,149000,152500,151100,147500,159450,166325,156825,958988,1196763,1106822,887548,742170
20200326,155000,156000,150000,150500,150500,148150,160425,166342,156683,893688,1358117,1110018,872225,733330
20200325,160500,162500,151000,154500,147200,149200,161825,166392,156575,1290376,1610808,1104587,860356,729945
20200324,150500,155000,147000,154500,144500,150650,163300,166283,156417,1271387,1574238,1065887,834476,713787
20200323,138000,148000,137500,143500,143100,152500,164850,166150,156258,1569378,1564170,1032156,815522,698728
20200320,138000,151000,134500,149500,143900,154900,166850,166233,156200,1765756,1500791,993324,784373,677295
20200319,145500,147000,127500,134000,145800,157500,168850,166242,156088,2157141,1468037,932961,752838,656956
20200318,148500,152000,140500,141000,151200,162050,171675,166508,156121,1107527,1280222,852474,708638,623935
20200317,141000,150500,140000,147500,156800,165900,174125,166675,156067,1221046,1168762,865247,690463,609688
20200316,162000,164000,147500,147500,161900,168650,175850,166725,155967,1252484,1114728,833558,668804,593935
20200313,150000,161500,145000,159000,165900,171400,177500,166792,155867,1601985,1025359,787404,643994,578012
20200312,167000,169000,158500,161000,169200,172700,178550,166658,155683,1218070,818647,754709,615497,558926
20200311,172000,174500,167000,169000,172900,174450,179450,166467,155442,550227,739382,787704,595627,550464
20200310,164500,174500,164000,173000,175000,175950,179600,166150,155133,950875,771174,780589,593763,549295
20200309,171000,171500,166000,167500,175400,177200,179450,165758,154800,805638,706802,748401,580039,542048
20200306,176500,178500,174000,175500,176900,178800,179525,165492,154533,568424,704374,726880,581856,533076
20200305,182500,183000,176500,179500,176200,180200,179125,165125,154179,821744,795272,724563,588936,530526
20200304,174000,181000,174000,179500,176000,181300,178450,164625,153817,709188,787936,711078,589397,530854
20200303,180500,181000,175000,175000,176900,182350,177625,164233,153446,629017,749374,698467,581510,522920
20200302,174500,176500,169500,175000,179000,183050,177100,163933,153142,793495,742923,686755,573656,516361
20200228,174500,176500,170500,172000,180700,183600,176325,163625,152829,1022917,742771,668275,559845,507306
20200227,184000,185500,176500,178500,184200,184400,175675,163350,152538,785062,649887,634433,544987,498111
20200226,183500,185500,181500,184000,186600,184450,174850,162992,152171,516378,602355,616125,542624,488664
20200225,182000,186000,180000,185500,187800,183250,173825,162550,151746,596763,771679,603064,537737,484968
